Time,Temp,Weather,Wind,Direction,Humidity,Barometer,Visibility
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
22,29,Passing clouds.,,↑,76,1013,6
01,28,Passing clouds.,,↑,82,1011,6
04,27,Passing clouds.,,↑,85,1010,6
07,27,Partly sunny.,,↑,84,1011,6
10,30,Partly sunny.,6,↑,73,1013,7
13,32,Partly sunny.,6,↑,66,1010,7
16,31,Thunderstorms. Overcast.,,↑,74,1009,7
19,30,Passing clouds.,6,↑,76,1011,6
